ASNNumber;Номенклатура;Машина;Qty ASN;ДП/МП;Паллет №;Приоритет;Факт;Остаток;Часы;Статус;Приемка до;Месяц;Тип
MPS175648;MiSight 1 day (90pk);26_006;1 022;МП;16;;1022;0;0,0;Закрыто;;-;Сфера
MPS175390;Diag Biofinity Energys (3pk);26_006;120;МП;8;;120;0;0,0;Закрыто;;-;Сфера
MPS175441;iWear oxygen (3pk);26_006;5 181;МП;8;;5180;1;0,0;В приемке;30.06.2026;01.06.2026;Сфера
MPS175486;Diag MyDay Multifocal (5pk);26_006;18 637;МП;13,14;;18637;0;0,0;Закрыто;;-;Сложные
DPS052320;Avaira Vitality toric (6pk);26_007;151;ДП;3;;151;0;0,0;Закрыто;;-;Сложные
DPS052320;Clariti 1 Day toric (30pk);26_007;2 524;ДП;3;;2035;489;3,9;В приемке;30.06.2026;01.06.2026;Сложные
DPS052320;Diag Clariti 1day  multifocal (5pk) (new);26_007;15;ДП;3;;15;0;0,0;Закрыто;;-;Сложные
DPS052275;Avaira Vitality (6pk);26_007;16;ДП;3;;16;0;0,0;Закрыто;;-;Сфера
DPS052275;Avaira Vitality toric (6pk);26_007;118;ДП;3;;118;0;0,0;Закрыто;;-;Сложные
DPS052275;Diag Biofinity Multifocal (1pk);26_007;56;ДП;3;;0;56;1,1;В приемке;30.06.2026;01.06.2026;1pk
DPS052275;Diag Biofinity Toric (1pk);26_007;155;ДП;3;;0;155;3,1;В приемке;30.06.2026;01.06.2026;1pk
DPS052275;Diag Clariti 1 Day toric (5pk) (new);26_007;22;ДП;3;;22;0;0,0;Закрыто;;-;Сложные
DPS052275;iWear activ astigmatism (30 pk);26_007;8;ДП;3;;8;0;0,0;Закрыто;;-;Сложные
DPS052275;WB Comfilcon A toric BF (3pk);26_007;2;ДП;3;;2;0;0,0;Закрыто;;-;Сложные
DPS052275;WB Fanfilcon A toric (6pk);26_007;8;ДП;3;;8;0;0,0;Закрыто;;-;Сложные
